EmpID,FirstName,LastName,StartDate,ExitDate,Title,ADEmail,EmployeeStatus,EmployeeType,TerminationDescription,DepartmentType,DOB,GenderCode,LocationCode,Current Employee Rating
1,Makaila,Baxter,08-Jan-21,01-Apr-23,Production Technician I,makaila.baxter@bilearner.com,Active,Contract,Particularly trouble sister.,Production       ,14-04-1960,Male,10871,1
2,Beau,Barron,26-Sep-19,01-Aug-20,Production Technician I,beau.barron@bilearner.com,Active,Contract,Real public realize evening building middle.,Production       ,03-07-1995,Female,61768,3
3,Tripp,Blake,11-Nov-21,01-Aug-22,Production Technician I,tripp.blake@bilearner.com,Voluntarily Terminated,Full-Time,Left how maintain structure these enter kitchen.,Production       ,29-10-1967,Female,57276,3
4,Raphael,Whitney,23-Jul-23,01-Aug-23,Production Technician I,raphael.whitney@bilearner.com,Active,Full-Time,Foreign friend policy green.,Production       ,11-07-1947,Female,97410,1
5,Sarahi,Burke,29-Mar-21,01-Dec-21,Production Technician I,sarahi.burke@bilearner.com,Active,Part-Time,Suddenly free computer last spend.,Production       ,09-09-1988,Female,90967,3
6,Roger,Kaufman,11-Aug-22,01-Dec-22,Production Technician II,roger.kaufman@bilearner.com,Leave of Absence,Contract,Prepare simply play edge.,Production       ,13-04-1954,Female,96266,5
7,Jacoby,Lyons,28-Apr-20,01-Dec-22,IT Manager - Support,jacoby.lyons@bilearner.com,Active,Full-Time,Type three hear court street sport key.,IT/IS,15-01-1974,Male,42997,1
8,Heidi,Joyce,06-Dec-18,01-Dec-22,Production Technician II,heidi.joyce@bilearner.com,Active,Part-Time,Avoid that school central member.,Production       ,15-04-1947,Female,2140,5
9,Destiny,Bright,30-May-20,01-Feb-22,Production Technician II,destiny.bright@bilearner.com,Voluntarily Terminated,Full-Time,Tell heavy degree no early.,Production       ,16-10-1962,Male,35065,2
10,Lance,Bailey,28-Sep-18,01-Feb-23,Senior BI Developer,lance.bailey@bilearner.com,Active,Full-Time,Wrong how fund front foreign.,IT/IS,21-04-1985,Male,43594,3
11,Kai,Holt,10-Feb-21,01-Jan-22,Production Technician I,kai.holt@bilearner.com,Future Start,Contract,Cup arm drug place level table staff.,Production       ,12-05-1985,Female,35618,3
12,Joseph,Schmidt,15-Oct-19,01-Jan-23,Software Engineer,joseph.schmidt@bilearner.com,Voluntarily Terminated,Full-Time,Federal less every character section think white.,Software Engineering,22-10-2000,Male,2121,3
13,Ciara,Cole,14-Nov-21,01-Jul-22,Production Technician I,ciara.cole@bilearner.com,Voluntarily Terminated,Full-Time,Form song garden right newspaper.,Production       ,04-04-1971,Male,46871,3
14,Kyleigh,Mathis,12-May-21,01-Jul-22,Area Sales Manager,kyleigh.mathis@bilearner.com,Active,Part-Time,Another instead but house six make citizen.,Sales,17-03-1975,Male,37293,2
15,Abby,Estes,04-Dec-18,01-Jul-22,Production Technician II,abby.estes@bilearner.com,Voluntarily Terminated,Contract,Organization above size discuss office.,Production       ,04-09-2000,Male,39455,4
16,Isabella,Wilkins,23-Sep-21,01-Jul-23,Production Technician I,isabella.wilkins@bilearner.com,Active,Contract,Everybody list to. Green best stock yes happen.,Production       ,01-09-1974,Male,31026,3
17,Tessa,Estes,01-Sep-19,01-Jun-21,Production Technician I,tessa.estes@bilearner.com,Leave of Absence,Part-Time,Star candidate seven television teacher all many.,Production       ,15-05-1993,Female,46895,2
18,Cortez,Murillo,15-Jul-19,01-Jun-21,Database Administrator,cortez.murillo@bilearner.com,Active,Full-Time,Or break sea say owner. Often guy local.,IT/IS,08-12-1946,Female,95641,3
19,Joel,Bowen,28-Feb-19,01-Jun-23,Production Technician I,joel.bowen@bilearner.com,Voluntarily Terminated,Part-Time,Design and respond dog true knowledge.,Production       ,01-08-1963,Male,67704,4
20,Corinne,Reeves,05-Jun-22,01-Jun-23,Production Technician I,corinne.reeves@bilearner.com,Active,Full-Time,Central weight analysis great.,Production       ,25-02-1984,Female,16715,2
21,Lily,Tyler,08-Aug-18,01-Jun-23,Sr. Network Engineer,lily.tyler@bilearner.com,Active,Contract,Series significant out.,Admin Offices,18-06-1974,Male,43568,3
22,Deandre,Oneal,31-Oct-19,01-Mar-20,Director of Sales,deandre.oneal@bilearner.com,Active,Contract,Finish law price under.,Sales,11-07-1995,Male,36351,1
23,Kasey,Alexander,22-Jun-19,01-May-21,Production Technician I,kasey.alexander@bilearner.com,Active,Contract,Reflect important account keep eye accept.,Production       ,15-07-1957,Female,75004,3
24,Kiersten,Ellis,07-Feb-20,01-May-21,Production Technician I,kiersten.ellis@bilearner.com,Future Start,Contract,Air act watch affect save positive among.,Production       ,15-01-1971,Male,56039,3
